id;email;type_plan;city;;;;;;;;;;
0;paciente_0@email.com;Basic;City_5;;;;;;;;;;
1;paciente_1@email.com;Basic;City_4;;;;;;;;;;
2;paciente_2@email.com;Basic;City_5;;;;;;;;;;
3;paciente_3@email.com;Intermediary;City_3;;;;;;;;;;
4;paciente_4@email.com;Basic;City_5;;;;;;;;;;
8;paciente_8@email.com;Intermediary;City_3;;;;;;;;;;
9;paciente_9@email.com;Intermediary;City_1;;;;;;;;;;
12;paciente_12@email.com;Intermediary;City_1;;;;;;;;;;
13;paciente_13@email.com;Basic;City_3;;;;;;;;;;
14;paciente_14@email.com;Basic;City_1;;;;;;;;;;
15;paciente_15@email.com;Intermediary;City_3;;;;;;;;;;
16;paciente_16@email.com;Basic;City_5;;;;;;;;;;
18;paciente_18@email.com;Basic;City_2;;;;;;;;;;
21;paciente_21@email.com;Complete;City_1;;;;;;;;;;
23;paciente_23@email.com;Intermediary;City_4;;;;;;;;;;
24;paciente_24@email.com;Complete;City_2;;;;;;;;;;
25;paciente_25@email.com;Basic;City_1;;;;;;;;;;
27;paciente_27@email.com;Basic;City_1;;;;;;;;;;
28;paciente_28@email.com;Complete;City_2;;;;;;;;;;
29;paciente_29@email.com;Intermediary;City_1;;;;;;;;;;
30;paciente_30@email.com;Complete;City_3;;;;;;;;;;
31;paciente_31@email.com;Intermediary;City_2;;;;;;;;;;
32;paciente_32@email.com;Intermediary;City_4;;;;;;;;;;
33;paciente_33@email.com;Basic;City_2;;;;;;;;;;
35;paciente_35@email.com;Intermediary;City_4;;;;;;;;;;
36;paciente_36@email.com;Complete;City_5;;;;;;;;;;
37;paciente_37@email.com;Complete;City_2;;;;;;;;;;
38;paciente_38@email.com;Basic;City_4;;;;;;;;;;
39;paciente_39@email.com;Basic;City_3;;;;;;;;;;
40;paciente_40@email.com;Basic;City_2;;;;;;;;;;
42;paciente_42@email.com;Basic;City_3;;;;;;;;;;
43;paciente_43@email.com;Basic;City_2;;;;;;;;;;
44;paciente_44@email.com;Basic;City_3;;;;;;;;;;
45;paciente_45@email.com;Complete;City_2;;;;;;;;;;
46;paciente_46@email.com;Complete;City_1;;;;;;;;;;
47;paciente_47@email.com;Basic;City_1;;;;;;;;;;
49;paciente_49@email.com;Basic;City_3;;;;;;;;;;
51;paciente_51@email.com;Complete;City_1;;;;;;;;;;
52;paciente_52@email.com;Complete;City_5;;;;;;;;;;
53;paciente_53@email.com;Intermediary;City_5;;;;;;;;;;
54;paciente_54@email.com;Basic;City_1;;;;;;;;;;
56;paciente_56@email.com;Intermediary;City_1;;;;;;;;;;
57;paciente_57@email.com;Intermediary;City_1;;;;;;;;;;
58;paciente_58@email.com;Complete;City_5;;;;;;;;;;
59;paciente_59@email.com;Basic;City_2;;;;;;;;;;
60;paciente_60@email.com;Complete;City_3;;;;;;;;;;
61;paciente_61@email.com;Intermediary;City_1;;;;;;;;;;
62;paciente_62@email.com;Basic;City_4;;;;;;;;;;
63;paciente_63@email.com;Intermediary;City_2;;;;;;;;;;
64;paciente_64@email.com;Basic;City_2;;;;;;;;;;
65;paciente_65@email.com;Complete;City_2;;;;;;;;;;
66;paciente_66@email.com;Intermediary;City_1;;;;;;;;;;
67;paciente_67@email.com;Basic;City_5;;;;;;;;;;
68;paciente_68@email.com;Basic;City_3;;;;;;;;;;
69;paciente_69@email.com;Basic;City_1;;;;;;;;;;
70;paciente_70@email.com;Basic;City_3;;;;;;;;;;
71;paciente_71@email.com;Intermediary;City_5;;;;;;;;;;
72;paciente_72@email.com;Intermediary;City_4;;;;;;;;;;
73;paciente_73@email.com;Intermediary;City_3;;;;;;;;;;
74;paciente_74@email.com;Basic;City_5;;;;;;;;;;
